Date;deficitOnTopLayers (g/m²/d);minTair (°C);maxTair (°C);solarRadiation (MJ/m²/d);extraSolarRadiation (MJ/m²/d);vaporPressure (hPa);tau (plant cover factor dimensionless);hslope (hPa/°C);plantHeight (mm);wind (m/d);VPDair (hPa);isWindVpDefined;Wc_3cm (g/m²/d);Ntip
8/8/1991 12:00:00 AM;15307.2581094665;5.2;19.6;8;15.0906703197626;7.3;0.943361646419854;1.04029574483949;0;558000;8.52785098032185;1;0;0
8/9/1991 12:00:00 AM;16319.7140181817;8.9;17.2;7.5;15.291201606126;6.9;0.936173627823093;1.01436445142536;0;374000;8.61376677714248;1;0;0
8/10/1991 12:00:00 AM;17255.6071446525;4.4;13;7.5;15.4957006397825;8.7;0.929432548094756;0.790337413301127;0;211000;2.97107342687433;1;0;0
8/11/1991 12:00:00 AM;18080.1874985895;-0.2;12;10.2;15.7041290383252;6.6;0.92585488176299;0.694428392837577;0;316000;3.42265211946941;1;0;0
8/12/1991 12:00:00 AM;18905.7352388197;3;18.1;6.3;15.9164453140074;6.6;0.923078260543352;0.945544077883696;0;358000;7.57384474414496;1;0;0
8/13/1991 12:00:00 AM;19964.1983443783;3.9;14.5;6.2;16.1326048179843;6.9;0.917185723876969;0.829137787472099;0;573000;5.39386957706845;1;0;0
8/14/1991 12:00:00 AM;21123.670072843;7.9;19.6;8.6;16.3525596896822;7.9;0.909648430193614;1.08795529928595;0;525000;8.83245051444962;1;0;0
8/15/1991 12:00:00 AM;22508.3749826375;5.6;16.7;9.9;16.5762588113547;8.3;0.903322333155498;0.933000697552524;0;507000;5.75361385812724;1;0;0
8/16/1991 12:00:00 AM;23807.4178763256;6.2;19.7;9.1;16.8036477678744;6.4;0.898692318031281;1.06117478635628;0;484000;9.81672457759549;1;0;0
8/17/1991 12:00:00 AM;18260.7043051283;8.4;9.6;3.6;17.0346688117908;7.3;0.892607375080085;0.776107147514026;0;635000;4.18890273391292;1;3.32802814271842;0
8/18/1991 12:00:00 AM;19500.2751352488;0.6;9.6;11.2;17.2692608336782;6.7;0.89009604271863;0.639351916131225;0;349000;2.46712699940913;1;2.61094183887847;0
8/19/1991 12:00:00 AM;20552.1313268291;0.6;10.5;6.1;17.5073593377844;4.5;0.888282015297785;0.662792886515589;0;370000;5.03854428191117;1;1.97982812393033;0
8/20/1991 12:00:00 AM;21667.8667238517;4.5;11.8;9;17.7488964229806;4.5;0.886342550232208;0.757249984560486;0;442000;6.6325176398147;1;1.41125564280702;0
8/21/1991 12:00:00 AM;23012.0841309264;-1;10.8;11.2;17.9938007690065;5.9;0.883873607380017;0.650779061131895;0;482000;3.41557988784975;1;0.875565083981904;0
8/22/1991 12:00:00 AM;24281.6136920932;3.6;9.4;2.1;18.2419976279974;6.1;0.881898793564578;0.679146205732207;0;276000;3.75051024905843;1;0.328225256150626;0
8/23/1991 12:00:00 AM;25229.2896860801;-0.3;11.8;11.2;18.493408821271;8.1;0.880118921202621;0.687389838077919;0;142000;1.80883061010321;1;0;0
8/24/1991 12:00:00 AM;25379.83365631;-2.1;12.3;12.6;18.7479527413516;6.6;0.87693137326528;0.68142319696538;0;422000;3.17035155337349;1;0;0
8/25/1991 12:00:00 AM;25765.5321611156;2.3;15.4;4.5;19.0055443592012;6.4;0.873641097710587;0.835529650767279;0;302000;5.95348785589957;1;0;0
